aeroporto,tipo.de.voo,cia.aerea,possui.deficiencia,facilidade.de.desembarque.no.meio.fio,opcoes.de.transporte.ate.o.aeroporto,processo.de.aquisicao.da.passagem,processo.de.inspecao.de.seguranca,estabelecimentos.de.alimentacao,localizacao.e.deslocamento,conforto.da.sala.de.embarque,disponibilidade.de.tomadas,internet.disponibilizada.pelo.aeroporto,sanitarios,limpeza.geral.do.aeroporto,satisfacao.geral,nacionalidade,genero,idade,escolaridade,renda.familiar,viajando.sozinho,motivo.da.viagem,quantidade.de.viagens.nos.ultimos.12.meses,ja.embarcou.desembarcou.antes.no.aeroporto
SBFZ,Doméstico,GOL,Nenhuma,5,4,5,4,4,4,4,4,4,4,4,4,Brasileira,Masculino,36 a 45 anos,Ensino fundamental,Entre 2 e 4 sm,Sim,Lazer,2 a 3,Sim
SBFZ,Doméstico,AZUL,Nenhuma,5,4,4,3,4,4,4,5,5,4,4,5,Brasileira,Feminino,26 a 35 anos,Mestrado,Entre 2 e 4 sm,Sim,Outros,6 a 10,Sim
SBFZ,Doméstico,GOL,Nenhuma,4,4,5,4,5,4,4,5,3,5,5,4,Brasileira,Masculino,26 a 35 anos,Mestrado,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,GOL,Nenhuma,4,4,4,4,4,4,4,4,4,4,4,4,Brasileira,Masculino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Trabalho,Mais de 11,Sim
SBMO,Doméstico,GOL,Nenhuma,5,4,5,5,5,5,5,5,5,5,5,5,Brasileira,Masculino,36 a 45 anos,Ensino médio,Entre 1 e 2 sm,Sim,Lazer,1 (Primeira viagem),Não
SBSV,Doméstico,LATAM,Nenhuma,4,4,5,4,5,3,4,5,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 1 e 2 sm,Sim,Lazer,2 a 3,Sim
SBVT,Doméstico,LATAM,Nenhuma,5,3,4,4,3,5,5,3,5,5,5,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBCF,Doméstico,AZUL,Nenhuma,4,5,5,5,4,5,4,5,5,5,5,5,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 1 e 2 sm,Não,Lazer,1 (Primeira viagem),Não
SBSP,Doméstico,GOL,Nenhuma,4,3,4,3,2,3,2,2,3,3,3,3,Brasileira,Feminino,26 a 35 anos,Superior,Mais de 20 sm,Sim,Outros,2 a 3,Sim
SBVT,Doméstico,AZUL,Nenhuma,5,3,4,4,4,3,2,3,3,2,4,4,Brasileira,Feminino,26 a 35 anos,Superior,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBCY,Doméstico,AZUL,Nenhuma,5,1,5,5,4,4,4,3,4,3,4,4,Brasileira,Feminino,18 a 25 anos,Ensino médio,Entre 4 e 10 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFL,Doméstico,AZUL,Nenhuma,5,3,5,4,3,5,4,4,5,5,5,5,Brasileira,Masculino,26 a 35 anos,Ensino fundamental,Entre 2 e 4 sm,Sim,Lazer,1 (Primeira viagem),Não
SBFL,Doméstico,LATAM,Nenhuma,4,4,5,4,3,4,4,3,4,2,5,4,Brasileira,Feminino,36 a 45 anos,Superior,Entre 4 e 10 sm,Não,Lazer,4 a 5,Sim
SBPA,Doméstico,AZUL,Nenhuma,4,5,5,5,5,4,5,5,5,5,5,5,Brasileira,Masculino,46 a 55 anos,Ensino médio,Entre 2 e 4 sm,Sim,Trabalho,2 a 3,Sim
SBGL,Internacional,TAP,Nenhuma,4,5,5,5,5,4,4,3,5,4,5,4,Brasileira,Masculino,46 a 55 anos,Superior,Entre 10 e 20 sm,Sim,Trabalho,4 a 5,Sim
SBCY,Doméstico,LATAM,Nenhuma,5,4,5,5,4,4,4,3,2,5,5,4,Brasileira,Masculino,26 a 35 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBRJ,Doméstico,LATAM,Nenhuma,4,4,4,2,5,4,4,2,5,4,4,4,Brasileira,Masculino,36 a 45 anos,Doutorado,Mais de 20 sm,Sim,Trabalho,Mais de 11,Sim
SBSV,Doméstico,LATAM,Nenhuma,2,4,5,5,5,5,3,5,5,5,5,5,Brasileira,Feminino,46 a 55 anos,Superior,Prefiro não informar,Não,Lazer,1 (Primeira viagem),Não
SBFZ,Doméstico,LATAM,Nenhuma,4,5,5,5,4,5,5,5,5,5,5,5,Brasileira,Feminino,26 a 35 anos,Ensino médio,até 1 salário mínimo,Sim,Outros,2 a 3,Sim
SBMO,Doméstico,LATAM,Nenhuma,4,5,5,5,2,5,5,5,5,5,5,4,Brasileira,Masculino,18 a 25 anos,Superior,Entre 4 e 10 sm,Não,Lazer,2 a 3,Não
